"filename", "language", "CSS", "YAML", "TypeScript", "JSON", "HTML", "XML", "comment", "blank", "total"
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-view/invalid-order-view.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-order-view/invalid-order-view.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 11, 31
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-orders-routing.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-orders.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-orders.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-orders.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-orders.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 5, 16
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/invalid-orders/invalid-orders.module.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 5, 29
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-filter.pipe.spec.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-filter.pipe.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-home/kit-registration-home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-home/kit-registration-home.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-home/kit-registration-home.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-home/kit-registration-home.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 5, 16
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-list/kit-registration-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-list/kit-registration-list.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-list/kit-registration-list.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-list/kit-registration-list.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 5, 16
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-view/kit-registration-view.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-view/kit-registration-view.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-view/kit-registration-view.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registration-view/kit-registration-view.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 5, 16
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/kit-registrations/kit-registrations.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/lab-orders/lab-order-create/lab-order-create.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tyshowers/Dropbox/angular/notch-app/src/app/lab-orders/lab-order-create/lab-order-create.component.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 2, 19
